camis,dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,critical_flag,score,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,violation_code,violation_description,grade,grade_date
50118657,YAYA TEA,Brooklyn,80,DEKALB AVENUE,11201,9173483700,Asian/Asian Fusion,2025-06-15T00:00:00.000,No violations were recorded at the time of this inspection.,Not Applicable,0,2025-06-29T06:00:14.000,Inter-Agency Task Force / Initial Inspection,40.68985672822,-73.979720371884,302,35,003300,3391840,3020940010,BK68,,,,
50130035,ROKSTAR CHICKEN,Queens,4202,NORTHERN BLVD,11101,3479885553,Chicken,2025-06-15T00:00:00.000,No violations were recorded at the time of this inspection.,Not Applicable,0,2025-06-29T06:00:14.000,Inter-Agency Task Force / Initial Inspection,40.753068276318,-73.921377667644,401,26,017100,4002366,4001830051,QN31,,,,
50124494,MACHI MACHI,Queens,13336,37TH AVE,11354,7185943214,Other,2025-06-15T00:00:00.000,No violations were recorded at the time of this inspection.,Not Applicable,0,2025-06-29T06:00:14.000,Inter-Agency Task Force / Initial Inspection,40.760605063291,-73.833640816461,407,20,087100,4597144,4049727505,QN22,,,,
50143901,CRISPY CLOUD,Queens,21203,48TH AVE,11364,3477087477,Asian/Asian Fusion,2025-06-15T00:00:00.000,No violations were recorded at the time of this inspection.,Not Applicable,0,2025-06-29T06:00:14.000,Inter-Agency Task Force / Initial Inspection,40.755242798685,-73.769192720079,411,19,144700,4157278,4073290003,QN46,,,,
50130645,Cruncheese,Manhattan,1000,S 8TH AVE,10019,6467047440,Hotdogs,2025-06-15T00:00:00.000,No violations were recorded at the time of this inspection.,Not Applicable,0,2025-06-29T06:00:14.000,Inter-Agency Task Force / Initial Inspection,40.766812226924,-73.982808747226,104,03,013900,1799161,1270000161,MN15,,,,
50002632,O'NEILL'S,Queens,64-21,53 DRIVE,11378,7184570100,American,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,20,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.728667923894,-73.900894982684,405,30,051500,4054719,4023740101,QN30,02B,Hot TCS food item not held at or above 140 °F.,,
50106054,ANITA GELATO,Manhattan,1561,2 AVENUE,10028,3478447041,Frozen Desserts,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,21,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.774747632908,-73.954030822739,108,05,013800,1048566,1015270021,MN32,04J,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",,
50143591,JG MIDTOWN AMENITIES KITCHEN,Manhattan,425,PARK AVENUE,10022,6462904653,American,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,9,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.760505277448,-73.971540748616,105,04,010000,1036505,1013100001,MN19,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,A,2025-06-16T00:00:00.000
50006379,BETTER GOURMET HEALTH KITCHEN,Staten Island,400,FOREST AVENUE,10301,7187272800,American,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,20,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.630881887986,-74.102918624938,501,49,005900,5006983,5002530012,SI35,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",,
50140713,SUSHI GINZA,Manhattan,1065,1 AVENUE,10022,2122022553,Japanese,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,12,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.759072618361,-73.962372801246,106,05,010800,1040047,1013510023,MN19,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,2025-06-16T00:00:00.000
50162198,Firecracker Wings,Manhattan,300,EAST   61 STREET,10065,2016505034,Other,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,27,2025-06-29T06:00:14.000,Pre-permit (Operational) / Re-inspection,40.761781989304,-73.963280938753,108,05,011000,1044218,1014350049,MN31,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Z,2025-06-16T00:00:00.000
50108605,MALA PROJECT,Manhattan,245,EAST   53 STREET,10022,7185599513,Chinese,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,13,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.757265625621,-73.968347667171,106,04,009800,1090702,1013277503,MN19,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",A,2025-06-16T00:00:00.000
50094976,BARDOUGH,Manhattan,350,WEST   46 STREET,10036,9172620543,Pizza,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,45,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.760387544484,-73.989369311856,104,03,012100,1025023,1010360053,MN15,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,,
50072911,JUANITO RESTAURANT,Bronx,494,EAST  138 STREET,10454,3479189980,Spanish,2025-06-16T00:00:00.000,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,Not Critical,92,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.80776461455,-73.919748673439,201,08,002500,2000031,2022650003,BX39,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",,
50051353,SUPER SKYWAY RESTAURANT & KEBAB HOUSE,Brooklyn,2032,BATH AVENUE,11214,7183733332,Pakistani,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,10,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.600784898633,-74.000615784542,311,47,028600,3168849,3064430031,BK27,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",A,2025-06-16T00:00:00.000
50067775,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Queens,21873,HEMPSTEAD AVE,11429,5162443949,Caribbean,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,12,2025-06-29T06:00:14.000,Cycle Inspection / Re-inspection,40.713227361069,-73.735593489688,413,27,056800,4230884,4107720003,QN34,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,2025-06-16T00:00:00.000
41435950,ARMANDO GROCERY & BAKERY,Brooklyn,272,WYCKOFF AVENUE,11237,7184977979,Bakery Products/Desserts,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,12,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.700117774416,-73.912164520922,304,37,043900,3076370,3033370026,BK77,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,2025-06-16T00:00:00.000
50048240,"DUNKIN', 'BASKIN ROBBINS",Brooklyn,43,JAMAICA AVENUE,11207,9178863304,Donuts,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,13,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.67783776461,-73.898090209124,305,37,114201,3080573,3034820001,BK83,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,A,2025-06-16T00:00:00.000
41454471,ASIAN JEWELS SEAFOOD RESTAURANT,Queens,133-30,39 AVENUE,11354,7183598600,Chinese,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,41,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.75909344598,-73.834157180609,407,20,087100,4112276,4049730016,QN22,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",,
50139434,HONG KONG EATS,Queens,4412,KISSENA BLVD,11355,7187474042,Chinese,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,32,2025-06-29T06:00:14.000,Cycle Inspection / Re-inspection,40.753514909887,-73.82236846823,407,20,079701,4115907,4051370110,QN22,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Z,2025-06-16T00:00:00.000
50170990,TSISMIS HALO-HALO BAR,Manhattan,129,ALLEN STREET,10002,9175735757,Frozen Desserts,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,50,2025-06-29T06:00:14.000,Pre-permit (Non-operational) / Initial Inspection,40.719959983959,-73.98998545998,103,01,001800,1005491,1004150031,MN27,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",N,
50070157,A-POU'S TASTE,Brooklyn,963,GRAND STREET,11211,7183888111,Asian/Asian Fusion,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,45,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.71307791197,-73.936026846517,301,34,048100,3070478,3029240044,BK90,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",,
50094976,BARDOUGH,Manhattan,350,WEST   46 STREET,10036,9172620543,Pizza,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,45,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.760387544484,-73.989369311856,104,03,012100,1025023,1010360053,MN15,04L,Evidence of mice or live mice in establishment's food or non-food areas.,,
41250025,YUNG SUN SEAFOOD RESTAURANT,Manhattan,47,EAST BROADWAY,10002,2123469888,Chinese,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,27,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.713559546894,-73.99585893959,103,01,000800,1003420,1002800037,MN27,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",,
50098068,CAFE D'AVIGNON,Brooklyn,445,ALBEE SQUARE WEST,11201,9177153556,Coffee/Tea,2025-06-16T00:00:00.000,Violations were cited in the following area(s).,Critical,12,2025-06-29T06:00:14.000,Cycle Inspection / Initial Inspection,40.690826232689,-73.98345224546,302,33,001500,3397861,3001497501,BK38,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,2025-06-16T00:00:00.000
