name,address,city,state,postal_code,latitude,longitude,google_place_id
MORRIS PARK BAKE SHOP,1007 MORRIS PARK AVENUE,Bronx,NY,10462,40.848231224526,-73.855971889932,ChIJR2iKr6X0wokRqgE7AsCXR4Q
D.J. REYNOLDS,351 WEST   57 STREET,Manhattan,NY,10019,40.767325711553,-73.984310423617,ChIJ03By9lhYwokRfGgIPEcxNlM
RIVIERA CATERERS,2780 STILLWELL AVENUE,Brooklyn,NY,11224,40.579895663312,-73.982086655861,ChIJORtGIUtEwokRRkJrOQDvZPM
WILKEN'S FINE FOOD,7114 AVENUE U,Brooklyn,NY,11234,40.620111590927,-73.906989489698,ChIJE0bysTZDwokR8f0bBXYZjbU
TASTE THE TROPICS ICE CREAM,1839 NOSTRAND AVENUE,Brooklyn,NY,11226,40.640795017461,-73.948487981531,ChIJA9tq-09bwokR4V5qqyuYzCM
WILD ASIA,2300 SOUTHERN BOULEVARD,Bronx,NY,10460,40.850536751997,-73.88245508146,ChIJhV2BBYr1wokRyJB4xQNYDz0
1 EAST 66TH STREET KITCHEN,1 EAST   66 STREET,Manhattan,NY,10065,40.768546914232,-73.969580578452,ChIJYdHIa-lYwokRmeZUvOoldMo
NATHAN'S FAMOUS,1310 SURF AVENUE,Brooklyn,NY,11224,40.575536869421,-73.981652264112,ChIJQQaDPzVEwokRwJfPzNzyNnI
SEUDA FOODS,705 KINGS HIGHWAY,Brooklyn,NY,11223,40.606186921432,-73.965466445897,ChIJm6ureO5EwokRvq-XlFFFr2w
SAL'S DELI,12908 20 AVENUE,Queens,NY,11356,40.781673836068,-73.839415976831,ChIJ-_x_Aa2KwokRqFJJzzxM1EE
STEVE CHU'S DELI & GROCERY,3406 10 STREET,Queens,NY,11106,40.764571212478,-73.938825461701,ChIJha0ydctYwokR8fPG306kQZU
P & S DELI GROCERY,730 COLUMBUS AVENUE,Manhattan,NY,10025,40.792620635885,-73.96770961573,ChIJ10yifCf2wokRDiZPK-60xM8
