name,address,city,state,postal_code,latitude,longitude
MORRIS PARK BAKE SHOP,1007 MORRIS PARK AVENUE,Bronx,NY,10462,40.848231224526,-73.855971889932
D.J. REYNOLDS,351 WEST   57 STREET,Manhattan,NY,10019,40.767325711553,-73.984310423617
RIVIERA CATERERS,2780 STILLWELL AVENUE,Brooklyn,NY,11224,40.579895663312,-73.982086655861
WILKEN'S FINE FOOD,7114 AVENUE U,Brooklyn,NY,11234,40.620111590927,-73.906989489698
TASTE THE TROPICS ICE CREAM,1839 NOSTRAND AVENUE,Brooklyn,NY,11226,40.640795017461,-73.948487981531
WILD ASIA,2300 SOUTHERN BOULEVARD,Bronx,NY,10460,40.850536751997,-73.88245508146
1 EAST 66TH STREET KITCHEN,1 EAST   66 STREET,Manhattan,NY,10065,40.768546914232,-73.969580578452
NATHAN'S FAMOUS,1310 SURF AVENUE,Brooklyn,NY,11224,40.575536869421,-73.981652264112
SEUDA FOODS,705 KINGS HIGHWAY,Brooklyn,NY,11223,40.606186921432,-73.965466445897
SAL'S DELI,12908 20 AVENUE,Queens,NY,11356,40.781673836068,-73.839415976831
STEVE CHU'S DELI & GROCERY,3406 10 STREET,Queens,NY,11106,40.764571212478,-73.938825461701
P & S DELI GROCERY,730 COLUMBUS AVENUE,Manhattan,NY,10025,40.792620635885,-73.96770961573
ANGELIKA FILM CENTER,18 WEST HOUSTON STREET,Manhattan,NY,10012,40.725743617441,-73.997478107592
HO MEI RESTAURANT,10305 37 AVENUE,Queens,NY,11368,40.753305911581,-73.864295375778
SHASHEMENE INT'L RESTAURANT,195 EAST   56 STREET,Brooklyn,NY,11203,40.651983222786,-73.924574944152
CAFE METRO,625 8 AVENUE,Manhattan,NY,10018,40.756185423077,-73.990564733785
BAGELS N BUNS,2491 VICTORY BOULEVARD,Staten Island,NY,10314,40.610267863828,-74.146401210286
CARVEL,1111 HYLAN BOULEVARD,Staten Island,NY,10305,40.598553130746,-74.079646008177
NEW GOLDEN BILLION,976 RUTLAND ROAD,Brooklyn,NY,11212,40.662140594575,-73.92718021322
MISS MAIME'S SPOONBREAD TOO,364 WEST  110 STREET,Manhattan,NY,10025,40.80137126967,-73.96015994361
KOSHER BAGEL HOLE,1423 AVENUE J,Brooklyn,NY,11230,40.625111128727,-73.962034339365
HAPPY GARDEN,277 EAST KINGSBRIDGE ROAD,Bronx,NY,10458,40.863648812188,-73.894239617341
PHILADELPHIA GRILLE EXPRESS,10004 4 AVENUE,Brooklyn,NY,11209,40.612722489797,-74.033751771822
PETER LUGER STEAKHOUSE,178 BROADWAY,Brooklyn,NY,11211,40.709979804558,-73.962512437328
METROPOLITAN CLUB,1 EAST   60 STREET,Manhattan,NY,10022,40.764795521845,-73.97230783434
ISLE OF CAPRI RESTURANT,1028 3 AVENUE,Manhattan,NY,10065,40.76270773611,-73.965749576014
OLD TOWN BAR & RESTAURANT,45 EAST   18 STREET,Manhattan,NY,10003,40.73759507351,-73.989647208522
SEVILLA RESTAURANT,62 CHARLES STREET,Manhattan,NY,10014,40.734908378121,-74.00297328507
CRIMINAL COURT BLDG CAFETERIA,100 CENTRE STREET,Manhattan,NY,10013,40.71607656565,-74.001424896229
GOTTSCHEER HALL,657 FAIRVIEW AVENUE,Queens,NY,11385,40.706647972614,-73.90573574011
NYAC MAIN DINING ROOM,180 CENTRAL PARK SOUTH,Manhattan,NY,10019,40.766718222992,-73.978736594767
7B BAR,108 AVENUE B,Manhattan,NY,10009,40.724984562415,-73.981282649047
CAFE ATELIER (ART STUDENTS LEAGUE),215 WEST   57 STREET,Manhattan,NY,10019,40.765886941316,-73.980895665472
DONOHUE'S STEAK HOUSE,845 LEXINGTON AVENUE,Manhattan,NY,10065,40.765512884509,-73.965769788003
JUNIOR'S,386 FLATBUSH AVENUE EXTENSION,Brooklyn,NY,11201,40.690200145894,-73.981624196473
OLD HOMESTEAD,56 9 AVENUE,Manhattan,NY,10011,40.741372224356,-74.005037755098
NEW PARK PIZZERIA & RESTAURANT,156-71 CROSSBAY BOULEVARD,Queens,NY,11414,40.663101703308,-73.840837932811
DOUGLASTON CLUB,600 WEST DRIVE,Queens,NY,11363,40.776329722511,-73.752835442703
THE NEW STARLING ATHLETIC CLUB OF THE BRONX,2222 HAVILAND AVENUE,Bronx,NY,10462,40.830610122115,-73.849646682665
CRYSTAL ROOM,67 OLYMPIA BOULEVARD,Staten Island,NY,10305,40.592814177678,-74.070677121271
MCSORLEY'S OLD ALE HOUSE,15 EAST    7 STREET,Manhattan,NY,10003,40.728584000789,-73.989536765481
SOUTH SHORE SWIMMING CLUB,6736 HYLAN BOULEVARD,Staten Island,NY,10309,40.508068517904,-74.228282145067
CORNER BISTRO,331 WEST    4 STREET,Manhattan,NY,10014,40.737924847314,-74.003861116033
DORRIAN'S RED HAND RESTAURANT,1616 2 AVENUE,Manhattan,NY,10028,40.776404966262,-73.952802065662
LA GRENOUILLE,3 EAST   52 STREET,Manhattan,NY,10022,40.759658161533,-73.975977435444
KEATS RESTAURANT,842 2 AVENUE,Manhattan,NY,10017,40.751598370567,-73.970894901051
ARTURO'S,106 WEST HOUSTON STREET,Manhattan,NY,10012,40.727234052041,-74.000515935209
YANKEE TAVERN,72 EAST  161 STREET,Bronx,NY,10451,40.827557861039,-73.925141196877
DONUT PUB,203 WEST   14 STREET,Manhattan,NY,10011,40.738748341271,-74.000144342577
REBEN LUNCHEONETTE,229 HAVEMEYER STREET,Brooklyn,NY,11211,40.709039945161,-73.959151290226
V & T RESTAURANT,1024 AMSTERDAM AVENUE,Manhattan,NY,10025,40.803329420525,-73.963611914951
JAHN'S RESTAURANT,8104 37 AVENUE,Queens,NY,11372,40.74965336582,-73.885073567329
J&V FAMOUS PIZZA,6322 18 AVENUE,Brooklyn,NY,11204,40.619956732515,-73.989352140632
JOE ALLEN RESTAURANT,326 WEST   46 STREET,Manhattan,NY,10036,40.760178896668,-73.988882031739
GARGIULO'S RESTAURANT,2911 WEST   15 STREET,Brooklyn,NY,11224,40.576555331866,-73.982584323148
PATSY'S ITALIAN RESTAURANT,236 WEST   56 STREET,Manhattan,NY,10019,40.765618195284,-73.98239751366
PARKSIDE RESTAURANT,107-01 CORONA AVENUE,Queens,NY,11368,40.743725104829,-73.856238382915
LAVELLE'S ADMIRAL'S CLUB,4515 BROADWAY,Queens,NY,11103,40.757002312956,-73.914799999814
NEARY'S PUB,358 EAST   57 STREET,Manhattan,NY,10022,40.758639389205,-73.963748322244
NEW YORK PIZZA SUPREMA,413 8 AVENUE,Manhattan,NY,10001,40.750031951553,-73.995040989424
MEE SUM CAFE,26 PELL STREET,Manhattan,NY,10013,40.714860627928,-73.998199974185
NANCY'S RESTAURANT,25541 JAMAICA AVENUE,Queens,NY,11001,40.727412703327,-73.709620966368
HOP KEE RESTAURANT,21 MOTT STREET,Manhattan,NY,10013,40.71436383248,-73.998784360399
NANCY WHISKEY PUB,1 LISPENARD STREET,Manhattan,NY,10013,40.720539457665,-74.005010921281
BLARNEY BAR,14609 JAMAICA AVENUE,Queens,NY,11435,40.701803341646,-73.808675609014
MARGHERITA PIZZA,16304 JAMAICA AVENUE,Queens,NY,11432,40.704667713048,-73.796822882442
HEALY'S PUB,10807 ROCKAWAY BEACH BOULEVARD,Queens,NY,11694,40.581733753666,-73.830282829448
FIFTH AVENUE BINGO,416 5 AVENUE,Brooklyn,NY,11215,40.670037593839,-73.985591483957
DENINO'S PIZZERIA TAVERN,524 PORT RICHMOND AVENUE,Staten Island,NY,10302,40.630024412021,-74.140168869243
MICHAEL'S RESTAURANT,2929 AVENUE R,Brooklyn,NY,11229,40.607418586159,-73.943003631919
KILLARNEY ROSE,80 BEAVER STREET,Manhattan,NY,10005,40.705338706862,-74.008692264913
DON PEPPE,13558 LEFFERTS BOULEVARD,Queens,NY,11420,40.670258237563,-73.820976082388
BLARNEY CASTLE,20224 ROCKAWAY POINT BOULEVARD,Queens,NY,11697,40.560775789189,-73.911783397474
ROLL-N-ROASTER,2901 EMMONS AVENUE,Brooklyn,NY,11235,40.58386660862,-73.939690057418
TIO PEPE,168 WEST    4 STREET,Manhattan,NY,10014,40.732056597098,-74.001443280258
BRENNAN & CARR,3432 NOSTRAND AVENUE,Brooklyn,NY,11229,40.600385883899,-73.94189333042
THE PUNCH BOWL,5820 BROADWAY,Bronx,NY,10463,40.885206062282,-73.900573930546
JARDIN DE CHINA REST,3737 JUNCTION BOULEVARD,Queens,NY,11368,40.750754804569,-73.870360475566
BLARNEY STONE,11 TRINITY PLACE,Manhattan,NY,10006,40.706523941132,-74.013846556301
SHIMONS KOSHER PIZZA,71-24 MAIN STREET,Queens,NY,11367,40.727181176223,-73.822096177766
FASCATI'S PIZZERIA,80 HENRY STREET,Brooklyn,NY,11201,40.698443928676,-73.992545623939
LI GRECI'S STAATEN RESTAURANT,697 FOREST AVENUE,Staten Island,NY,10310,40.629475941557,-74.11233734162
SHUN LEE PALACE RESTAURANT,155 EAST   55 STREET,Manhattan,NY,10022,40.759376653074,-73.96948371139
TAMAQUA,84 EBONY COURT,Brooklyn,NY,11229,40.59435177089,-73.930156614832
LA FUSTA RESTAURANT,8032 BAXTER AVENUE,Queens,NY,11373,40.744706795371,-73.884569670655
RICHMOND COUNTY COUNTRY CLUB,135 FLAGG PLACE,Staten Island,NY,10304,40.58793589848,-74.104072714536
LULU'S COFFEE SHOP,1191 CASTLE HILL AVENUE,Bronx,NY,10462,40.831707036899,-73.850999305895
MITCHELL'S RESTAURANT,617A VANDERBILT AVENUE,Brooklyn,NY,11238,40.678850369751,-73.968417476489
DA VINCI PIZZA,6514 18 AVENUE,Brooklyn,NY,11204,40.61897967707,-73.990342864857
MEXICO LINDO RESTAURANT,459 2 AVENUE,Manhattan,NY,10010,40.739644067898,-73.979614944263
MARINA DEL REY,2894 SCHURZ AVENUE,Bronx,NY,10465,40.814538549783,-73.815055436186
BROOME STREET BAR,363 WEST BROADWAY,Manhattan,NY,10013,40.723116860955,-74.003124280993
O'HANLON'S PUB,2257 31 STREET,Queens,NY,11105,40.774948266802,-73.912119596608
CHARLIES SPORTS BAR,4408 60TH ST,Queens,NY,11377,40.742010527663,-73.904480194358
JG MELON RESTAURANT,1291 3 AVENUE,Manhattan,NY,10021,40.771192500921,-73.959531818288
"TAP ROOM, GRAB & GO",180 CENTRAL PARK SOUTH,Manhattan,NY,10019,40.766718222992,-73.978736594767
COCKTAIL ROOM (NYAC),180 CENTRAL PARK SOUTH,Manhattan,NY,10019,40.766718222992,-73.978736594767
THE FLAME DINER,893 9 AVENUE,Manhattan,NY,10019,40.768431984928,-73.9853426732
JACKSON HOLE,232 EAST   64 STREET,Manhattan,NY,10065,40.764309967429,-73.963456427466
ZUM STAMMTISCH,6946 MYRTLE AVENUE,Queens,NY,11385,40.70186889553,-73.881596583326
BUDDY'S WONDER BAR,17 HARRISON AVENUE,Staten Island,NY,10302,40.636755420817,-74.134937047229
MIMIS RESTAURANT & BAR,984 SECOND AVENUE,Manhattan,NY,10022,40.756216898717,-73.967528807602
LENNY'S CLAM BAR,16103 CROSSBAY BOULEVARD,Queens,NY,11414,40.655550935611,-73.83896749314
GRIFFIS FACULTY CLUB,521 EAST   68 STREET,Manhattan,NY,10065,40.764156112386,-73.955283592822
DANI PIZZA AND RESTAURANT,8128 LEFFERTS BOULEVARD,Queens,NY,11415,40.708866954929,-73.830434010524
MCDONALD'S,943 FLATBUSH AVENUE,Brooklyn,NY,11226,40.648723192538,-73.958298253196
